estacion,cod_pluvio,fecha,mm
solis,2875A,10/04/2022,0.0
solis,2875A,10/05/2022,0.0
solis,2875A,10/06/2022,0.0
solis,2875A,10/07/2022,0.0
solis,2875A,10/08/2022,3.5
solis,2875A,10/09/2022,0.0
solis,2875A,10/10/2022,0.0
solis,2875A,10/11/2022,2.5
solis,2875A,10/12/2022,0.0
solis,2875A,10/13/2022,0.0
solis,2875A,10/14/2022,0.0
solis,2875A,10/15/2022,5.0
solis,2875A,10/16/2022,0.0
solis,2875A,10/17/2022,0.0
solis,2875A,10/18/2022,0.0
solis,2875A,10/19/2022,0.0
solis,2875A,10/20/2022,0.0
solis,2875A,10/21/2022,2.0
solis,2875A,10/22/2022,5.5
solis,2875A,10/23/2022,0.0
solis,2875A,10/24/2022,0.0
solis,2875A,10/25/2022,0.0
solis,2875A,10/26/2022,0.3
solis,2875A,10/27/2022,0.0
solis,2875A,10/28/2022,0.0
solis,2875A,10/29/2022,10.0
solis,2875A,10/30/2022,1.6
solis,2875A,10/31/2022,TRAZA
solis,2875A,11/01/2022,0.0
solis,2875A,11/02/2022,0.0
solis,2875A,11/03/2022,0.0
solis,2875A,11/04/2022,0.0
solis,2875A,11/05/2022,0.0
solis,2875A,11/06/2022,0.0
solis,2875A,11/07/2022,0.0
solis,2875A,11/08/2022,0.0
solis,2875A,11/09/2022,0.0
solis,2875A,11/10/2022,0.0
solis,2875A,11/11/2022,0.0
solis,2875A,11/12/2022,0.0
solis,2875A,11/13/2022,27.0
solis,2875A,11/14/2022,TRAZA
solis,2875A,11/15/2022,0.0
solis,2875A,11/16/2022,0.0
solis,2875A,11/17/2022,0.0
solis,2875A,11/18/2022,0.0
solis,2875A,11/19/2022,0.0
solis,2875A,11/20/2022,35.0
solis,2875A,11/21/2022,14.0
solis,2875A,11/22/2022,0.0
solis,2875A,11/23/2022,0.0
solis,2875A,11/24/2022,0.0
solis,2875A,11/25/2022,0.0
solis,2875A,11/26/2022,0.0
solis,2875A,11/27/2022,0.0
solis,2875A,11/28/2022,0.0
solis,2875A,11/29/2022,0.0
solis,2875A,11/30/2022,0.0
solis,2875A,12/01/2022,1.0
solis,2875A,12/02/2022,0.0
solis,2875A,12/03/2022,0.0
solis,2875A,12/04/2022,0.0
solis,2875A,12/05/2022,0.0
solis,2875A,12/06/2022,0.0
